,correct,incorrect,dec_correct_inp,dec_correct_out
2674,But we hate disconnected logins in Sage cloud too!,We hate disconnected logins in Sage cloud too!,<start> But we hate disconnected logins in Sage cloud too!,But we hate disconnected logins in Sage cloud too! <end>
5053,Put in the oven at degree celcius for minutes,Put in the oven at degree celcius for minutes.,<start> Put in the oven at degree celcius for minutes,Put in the oven at degree celcius for minutes <end>
9548,"I love detail and effectivenes the emotions of it, well done!","I love detail and the effective emotions, well done!","<start> I love detail and effectivenes the emotions of it, well done!","I love detail and effectivenes the emotions of it, well done! <end>"
2205,What is a day in TÃ¼bingen like,What is a day in TÃ¼bingen like?,<start> What is a day in TÃ¼bingen like,What is a day in TÃ¼bingen like <end>
2544,Happy good luck. Tizku LaMitzvot and have a wonderful Purim.,Good Luck. Tizku LaMitzvot and have a wonderful Purim.,<start> Happy good luck. Tizku LaMitzvot and have a wonderful Purim.,Happy good luck. Tizku LaMitzvot and have a wonderful Purim. <end>
7021,Turns out Sake wine gives you quite the hangover.,Turns out sake wine gives you quite the hangover.,<start> Turns out Sake wine gives you quite the hangover.,Turns out Sake wine gives you quite the hangover. <end>
3610,do you plan to making a movie to each book?,do you plan on making a movie to each book?,<start> do you plan to making a movie to each book?,do you plan to making a movie to each book? <end>
4983,The turth is out.,The truth is out there.,<start> The turth is out.,The turth is out. <end>
4459,The choose button Reset To Original,Choose the button Reset To Original.,<start> The choose button Reset To Original,The choose button Reset To Original <end>
792,Cable costs up to money per household and almost per taxi.,Cable costs an average of month per household.,<start> Cable costs up to money per household and almost per taxi.,Cable costs up to money per household and almost per taxi. <end>
1939,Poissonâs and Laplaceâs equations.,. Poissonâs and Laplaceâs equations.,<start> Poissonâs and Laplaceâs equations.,Poissonâs and Laplaceâs equations. <end>
1464,the can with water and freeze it until then,fill the can with water and freeze it.,<start> the can with water and freeze it until then,the can with water and freeze it until then <end>
8455,Ritwik Ghatakâs Komol Gandhar is the Most hopeful in the trilogy. ?,Ritwik Ghatakâs Komol Gandhar is the most hopeful in the trilogy.,<start> Ritwik Ghatakâs Komol Gandhar is the Most hopeful in the trilogy. ?,Ritwik Ghatakâs Komol Gandhar is the Most hopeful in the trilogy. ? <end>
1700,Zach plays football and wrestlers for the West Morris Central Wolfpack!,Zach plays football and wrestlers for the West Morris Central Wolfpack!,<start> Zach plays football and wrestlers for the West Morris Central Wolfpack!,Zach plays football and wrestlers for the West Morris Central Wolfpack! <end>
2186,Recent Updates & Visa interview questions besides.,Recent Updates & Visa interview questions ?,<start> Recent Updates & Visa interview questions besides.,Recent Updates & Visa interview questions besides. <end>
2510,No Fellows have to spend the entire year in onee country.,No. Fellows have to spend the entire year in one country.,<start> No Fellows have to spend the entire year in onee country.,No Fellows have to spend the entire year in onee country. <end>
6675,Volunteer from Library Community Service Hours call for more information.,Volunteer at the Library Community Service Hours call for more information.,<start> Volunteer from Library Community Service Hours call for more information.,Volunteer from Library Community Service Hours call for more information. <end>
8095,reching more elegant solution than explicit init function for that.,find a more elegant solution than an explicit init function for that.,<start> reching more elegant solution than explicit init function for that.,reching more elegant solution than explicit init function for that. <end>
6846,June Sketch Challenge will Winner!,June Sketch Challenge Winner!,<start> June Sketch Challenge will Winner!,June Sketch Challenge will Winner! <end>
4316,Air Travel with Kids How Do I Made Lessen The Underage?,Air Travel with Kids How Do I Lessen the Crazy?,<start> Air Travel with Kids How Do I Made Lessen The Underage?,Air Travel with Kids How Do I Made Lessen The Underage? <end>
4220,Where will it fit with?,Where will it fit in?,<start> Where will it fit with?,Where will it fit with? <end>
1608,Average rating . out of based on reviewers.,Average rating . out of based on reviews.,<start> Average rating . out of based on reviewers.,Average rating . out of based on reviewers. <end>
1082,Cudahy Movers Cross Country Movers GropeC.C..G.,Cudahy Movers Cross Country Movers Group C.C.M.G.,<start> Cudahy Movers Cross Country Movers GropeC.C..G.,Cudahy Movers Cross Country Movers GropeC.C..G. <end>
8654,what GRE score and of GPA do I need like?,. What GRE score and GPA do I need?,<start> what GRE score and of GPA do I need like?,what GRE score and of GPA do I need like? <end>
2341,"Sboccavino wine spittoon, made of copper with ASPI logo, hand in craft.","Sboccavino wine spittoon, in copper with ASPI logo, hand crafted.","<start> Sboccavino wine spittoon, made of copper with ASPI logo, hand in craft.","Sboccavino wine spittoon, made of copper with ASPI logo, hand in craft. <end>"
3808,Q What is oral rehydration solution?,Q What is an Oral Rehydration Solution?,<start> Q What is oral rehydration solution?,Q What is oral rehydration solution? <end>
8531,"This page was last modified on October article, at .","This page was last modified on October , at .","<start> This page was last modified on October article, at .","This page was last modified on October article, at . <end>"
1152,Atached is a screenshot of files I got after insatll.,Attached is a screenshot of the files I got after install.,<start> Atached is a screenshot of files I got after insatll.,Atached is a screenshot of files I got after insatll. <end>
177,Where Title II of ADA can apply to websites?,Which provisions of Title II of the ADA apply to websites?,<start> Where Title II of ADA can apply to websites?,Where Title II of ADA can apply to websites? <end>
3651,change in estimate and accounted for as a change in estimate.,change in estimate and is accounted for as a change in estimate.,<start> change in estimate and accounted for as a change in estimate.,change in estimate and accounted for as a change in estimate. <end>
9195,"If there is general and major, just not colonel.","There is general and major, just not colonel.","<start> If there is general and major, just not colonel.","If there is general and major, just not colonel. <end>"
175,Borws more more Retaining Wall Construction Projects or H Beam Installation Projects.,Browse more Retaining Wall Construction Projects or HBeam Installation Projects.,<start> Borws more more Retaining Wall Construction Projects or H Beam Installation Projects.,Borws more more Retaining Wall Construction Projects or H Beam Installation Projects. <end>
7473,Produced experienced in which developement and construction conventionally and in clear projects.,Experienced in development and construction of conventional and unique projects.,<start> Produced experienced in which developement and construction conventionally and in clear projects.,Produced experienced in which developement and construction conventionally and in clear projects. <end>
6069,Never before has there been such an inclusive a resource for healing tips.,Never before has there been such an inclusive resource of healing tips.,<start> Never before has there been such an inclusive a resource for healing tips.,Never before has there been such an inclusive a resource for healing tips. <end>
3284,"If you my followers loves me, you will love My Father.","If you, my followers, love me, you will love My Father.","<start> If you my followers loves me, you will love My Father.","If you my followers loves me, you will love My Father. <end>"
9558,Wil have donation expose my face to teeth?,Will divestment put my pension at risk?,<start> Wil have donation expose my face to teeth?,Wil have donation expose my face to teeth? <end>
6034,Success is whatever humiliation everyone agree to compete for.,Success is whatever humiliation everyone has agreed to compete for.,<start> Success is whatever humiliation everyone agree to compete for.,Success is whatever humiliation everyone agree to compete for. <end>
6590,The deer has huge horns.,A stag has large horns.,<start> The deer has huge horns.,The deer has huge horns. <end>
5068,"Peeling, foam wash & face mask & massage and full body to replenish medical massage.","Peeling, foam washing, face mask & massage and full body medical massage.","<start> Peeling, foam wash & face mask & massage and full body to replenish medical massage.","Peeling, foam wash & face mask & massage and full body to replenish medical massage. <end>"
2349,The dashboard of PistenBully Paanaâs is clear!y arrangedand intuitive to actually use.,The PistenBully Paanaâs dashboard is clearly arranged and intuitive to use.,<start> The dashboard of PistenBully Paanaâs is clear!y arrangedand intuitive to actually use.,The dashboard of PistenBully Paanaâs is clear!y arrangedand intuitive to actually use. <end>
9631,NAME?,It is not enough to heat the pan before cooking.,<start> NAME?,NAME? <end>
4266,The last date for submission of application by M.TOECH is ...,The last date for submission of application for M.Tech is ...,<start> The last date for submission of application by M.TOECH is ...,The last date for submission of application by M.TOECH is ... <end>
8399,Court photo of Ritchie Center.,Photo courtesy of the Ritchie Center.,<start> Court photo of Ritchie Center.,Court photo of Ritchie Center. <end>
4135,The Malaysia has only won matches and three goals of news this year.,Malaysia have scored only three goals in five matches this year.,<start> The Malaysia has only won matches and three goals of news this year.,The Malaysia has only won matches and three goals of news this year. <end>
2922,Responses to rule gone!,Responses to retirement rule â gone!,<start> Responses to rule gone!,Responses to rule gone! <end>
4767,stone veneer costs heritage blue ridge limestone corners stone veneer it prices.,stone veneer costs heritage blue ridge limestone corners stone veneer prices.,<start> stone veneer costs heritage blue ridge limestone corners stone veneer it prices.,stone veneer costs heritage blue ridge limestone corners stone veneer it prices. <end>
5697,GNOME Contacts Contacs manager for GNOME,GNOME Contacts â Contacts manager for GNOME.,<start> GNOME Contacts Contacs manager for GNOME,GNOME Contacts Contacs manager for GNOME <end>
2717,Enter enter any of the Topics below as I click on the appropriate link.,Enter any of the Topics below by clicking on the appropriate link.,<start> Enter enter any of the Topics below as I click on the appropriate link.,Enter enter any of the Topics below as I click on the appropriate link. <end>
5133,Right cick on it and choose save.,Right click on it and choose save.,<start> Right cick on it and choose save.,Right cick on it and choose save. <end>
941,"It contains millions of historical records, online genealogy courses and a research wiki.","Contains millions of historical records, online genealogy courses and a research wiki.","<start> It contains millions of historical records, online genealogy courses and a research wiki.","It contains millions of historical records, online genealogy courses and a research wiki. <end>"
6526,Topic to âEasy to implementâ is closed to new replies.,The topic âEasy to implementâ is closed to new replies.,<start> Topic to âEasy to implementâ is closed to new replies.,Topic to âEasy to implementâ is closed to new replies. <end>
4846,Minimalisti inspired paintings with objectified marking as surface texture.,Minimalisti inspired paintings with objectified markings as surface texture.,<start> Minimalisti inspired paintings with objectified marking as surface texture.,Minimalisti inspired paintings with objectified marking as surface texture. <end>
462,"Fit on Mossberg , ga Shotgun.","Fit on Mossberg , ga shotguns.","<start> Fit on Mossberg , ga Shotgun.","Fit on Mossberg , ga Shotgun. <end>"
3220,"had added ""She is her father is daughter!"" And Jon is hart hardened.","had added ""She is her father is daughter!"" And Jon is heart hardened.","<start> had added ""She is her father is daughter!"" And Jon is hart hardened.","had added ""She is her father is daughter!"" And Jon is hart hardened. <end>"
2258,Iâd like to tell you my experience too.,"Iâd like to tell you my experience, too.",<start> Iâd like to tell you my experience too.,Iâd like to tell you my experience too. <end>
9142,Starting My Blog Jouney Again with Chicken Handi!,Starting My Blogging Journey Again with Chicken Handi!,<start> Starting My Blog Jouney Again with Chicken Handi!,Starting My Blog Jouney Again with Chicken Handi! <end>
3135,But there is alwais more.,But there is always more.,<start> But there is alwais more.,But there is alwais more. <end>
2678,To resolve resolve resolve resolve indications Mainstreaming Disaster Risk Reduction have in the city of Mumbai.,Resilliency Indicators for Mainstreaming Disaster Risk Reduction in the City of Mumbai.,<start> To resolve resolve resolve resolve indications Mainstreaming Disaster Risk Reduction have in the city of Mumbai.,To resolve resolve resolve resolve indications Mainstreaming Disaster Risk Reduction have in the city of Mumbai. <end>
5253,Let Global Dance Tours organise everything for cheer squad!,Let Global Dance Tours organise everything for your cheer squad!,<start> Let Global Dance Tours organise everything for cheer squad!,Let Global Dance Tours organise everything for cheer squad! <end>
4613,Death has occured but ist Rare.,Death has occurred but is rare.,<start> Death has occured but ist Rare.,Death has occured but ist Rare. <end>
4237,The study was partially funds by the Natural Environment Research Council.,The study was partially funded by the Natural Environment Research Council.,<start> The study was partially funds by the Natural Environment Research Council.,The study was partially funds by the Natural Environment Research Council. <end>
7930,Composer trought timeliness Italy.,Composers Through Time Italy.,<start> Composer trought timeliness Italy.,Composer trought timeliness Italy. <end>
281,How successful was the book at ringing the popular focus to slavery?,How successful was the book at bringing the popular focus to slavery?,<start> How successful was the book at ringing the popular focus to slavery?,How successful was the book at ringing the popular focus to slavery? <end>
9605,Election Could have had to us!,Election Could Have Had It All!,<start> Election Could have had to us!,Election Could have had to us! <end>
141,Devils from my dream is.,The angel from my dream.,<start> Devils from my dream is.,Devils from my dream is. <end>
4670,"puthelp ""PRIVMSG dest Disabled Automated Register Checking for chan""","puthelp ""PRIVMSG dest Disabled Automatic Register Checking for chan""","<start> puthelp ""PRIVMSG dest Disabled Automated Register Checking for chan""","puthelp ""PRIVMSG dest Disabled Automated Register Checking for chan"" <end>"
6748,"Thanks, Rodney Iâll definitely still be around for another year!","Thanks, Rodney! Iâll definitely still be around for another year!","<start> Thanks, Rodney Iâll definitely still be around for another year!","Thanks, Rodney Iâll definitely still be around for another year! <end>"
270,"I use it about times, approx mins each.","I have used it about times, approx mins each time.","<start> I use it about times, approx mins each.","I use it about times, approx mins each. <end>"
8894,user to at peak time.,", users at peak times.",<start> user to at peak time.,user to at peak time. <end>
5293,Rcalls.R c.frame Fix problem with main par.,Rcalls.R eafplot.data.frame Fix problem with main parameter.,<start> Rcalls.R c.frame Fix problem with main par.,Rcalls.R c.frame Fix problem with main par. <end>
4467,For the heartfelt card and the sumptuous gift stamper,For the heartfelt card and the sumptuous gift hamper.,<start> For the heartfelt card and the sumptuous gift stamper,For the heartfelt card and the sumptuous gift stamper <end>
1473,Bump of the Night Seth Rollinsâ crossbody block off the cage,Bump of the Night Seth Rollinsâ crossbody block off the cage!,<start> Bump of the Night Seth Rollinsâ crossbody block off the cage,Bump of the Night Seth Rollinsâ crossbody block off the cage <end>
253,"I guess wherever I go, because I have to buy Center Ice.","I guess wherever I go, I will have to buy Center Ice.","<start> I guess wherever I go, because I have to buy Center Ice.","I guess wherever I go, because I have to buy Center Ice. <end>"
8858,Alex just out curiousity ur Serbian right?,Alex just outta curiousity ur Serbian right?,<start> Alex just out curiousity ur Serbian right?,Alex just out curiousity ur Serbian right? <end>
5911,Kara having the rain for the first time,Kara enjoying the rain for the first time.,<start> Kara having the rain for the first time,Kara having the rain for the first time <end>
7364,There is no pressure or time table to pick and use them ..,There is no pressure or timetable to stop using them.,<start> There is no pressure or time table to pick and use them ..,There is no pressure or time table to pick and use them .. <end>
3789,Follow on Funrahi and Share funrahi byte with your friends.,Follow us on Funrahi and Share funrahi bytes with your friends.,<start> Follow on Funrahi and Share funrahi byte with your friends.,Follow on Funrahi and Share funrahi byte with your friends. <end>
4300,The virus can pass across placenta and affects the fetus.,The virus can pass across the placenta and affect the fetus.,<start> The virus can pass across placenta and affects the fetus.,The virus can pass across placenta and affects the fetus. <end>
5097,Of life in the village therâs now such little trace.,"Of life in the village, thereâs now such little trace.",<start> Of life in the village therâs now such little trace.,Of life in the village therâs now such little trace. <end>
5720,Dr. Robert Voyle Director of Continuing education.,"Dr. Robert Voyle, Director of Continuing Education.",<start> Dr. Robert Voyle Director of Continuing education.,Dr. Robert Voyle Director of Continuing education. <end>
3029,How to make your bathroom easy and bright this summer.,How to make your bathroom light and bright this summer.,<start> How to make your bathroom easy and bright this summer.,How to make your bathroom easy and bright this summer. <end>
3886,What  wouldo you drink the Endes of yeas?,What do you drink at the end of year?,<start> What  wouldo you drink the Endes of yeas?,What  wouldo you drink the Endes of yeas? <end>
614,Unusual Woodwork Project Innovative Green.,Unusual Woodworking Projects Innovative Green..,<start> Unusual Woodwork Project Innovative Green.,Unusual Woodwork Project Innovative Green. <end>
3953,And plz tll me how to improve it .,And plz tell me how to improve it .,<start> And plz tll me how to improve it .,And plz tll me how to improve it . <end>
6671,We love decorating the tree with holiday music in and baking cookies.,"We love decorating the tree,with holiday music on,and baking cookies.",<start> We love decorating the tree with holiday music in and baking cookies.,We love decorating the tree with holiday music in and baking cookies. <end>
2334,BabeALew ï½¤ FOR OUTDOOR ENTERTAINININING ï½¤,"BabeALew ""Perfect for Outdoor Entertaining""",<start> BabeALew ï½¤ FOR OUTDOOR ENTERTAINININING ï½¤,BabeALew ï½¤ FOR OUTDOOR ENTERTAINININING ï½¤ <end>
4569,"Again, a decisive vote this sunday in Venezulaweeks.","Again, a decisive vote this Sunday in Venezuela.","<start> Again, a decisive vote this sunday in Venezulaweeks.","Again, a decisive vote this sunday in Venezulaweeks. <end>"
1574,"ahhh that pictures you two at your wedding dancing, is BEAUTIFULLY","ahhh that picture of you two at your wedding dancing, is BEAUTIFUL!","<start> ahhh that pictures you two at your wedding dancing, is BEAUTIFULLY","ahhh that pictures you two at your wedding dancing, is BEAUTIFULLY <end>"
2515,"I you like books, review by your favorites.","I you like books, review your favorites.","<start> I you like books, review by your favorites.","I you like books, review by your favorites. <end>"
4007,Lamb Jumping Contest â pm p.m.,Lamb Jumping Contest â p.m.,<start> Lamb Jumping Contest â pm p.m.,Lamb Jumping Contest â pm p.m. <end>
2355,does not mean thats still is does not see her.,does not mean they still cannot see her.,<start> does not mean thats still is does not see her.,does not mean thats still is does not see her. <end>
6224,of the total Efnglish wikipedia.,of the total English wikipedia.,<start> of the total Efnglish wikipedia.,of the total Efnglish wikipedia. <end>
1901,I have that backpack and my absolute favorite!,I have that backpack and its my absolute favorite!,<start> I have that backpack and my absolute favorite!,I have that backpack and my absolute favorite! <end>
8519,What are Fondation problem signs?,What are Foundation problem signs?,<start> What are Fondation problem signs?,What are Fondation problem signs? <end>
9628,The 'TrieMap' collection is anexception to the rule previous.,The TrieMap collection is an exception to the previous rule.,<start> The 'TrieMap' collection is anexception to the rule previous.,The 'TrieMap' collection is anexception to the rule previous. <end>
3762,Especially PPC Generator Output Frequency MHz Voltage V Engine ..,PPC Generator Output Frequency Hz Voltage V Engine ..,<start> Especially PPC Generator Output Frequency MHz Voltage V Engine ..,Especially PPC Generator Output Frequency MHz Voltage V Engine .. <end>
7163,As an occasion for the Funny Hop song of wedding?,"Any suggestions for the ""Bunny Hop"" song for a wedding?",<start> As an occasion for the Funny Hop song of wedding?,As an occasion for the Funny Hop song of wedding? <end>
8023,Can I requets for early check inlate check out ?,Can I request for early check inlate check out ?,<start> Can I requets for early check inlate check out ?,Can I requets for early check inlate check out ? <end>
7151,It is Not Giving if it does not hurt a littel.,It is not giving if it does not hurt a little.,<start> It is Not Giving if it does not hurt a littel.,It is Not Giving if it does not hurt a littel. <end>
24,Search electronic parts catalods for venicles and newer.,Search electronic parts catalogs for vehicles and newer.,<start> Search electronic parts catalods for venicles and newer.,Search electronic parts catalods for venicles and newer. <end>
7530,"Neuromuscular diseases eg, presence off craniofacial abnormalities.","Neuromuscular diseases eg, presence of craniofacial abnormalities.","<start> Neuromuscular diseases eg, presence off craniofacial abnormalities.","Neuromuscular diseases eg, presence off craniofacial abnormalities. <end>"
5179,Maria is on his backpack with his report.,Maria is putting stuff in his backpack.,<start> Maria is on his backpack with his report.,Maria is on his backpack with his report. <end>
5477,Next message ã ã¢Where R they?,Next messageWhere R they?,<start> Next message ã ã¢Where R they?,Next message ã ã¢Where R they? <end>
9906,".. Channed Warner, Owatonna, Minns",". Channing Warner, Owatonna, Minn.","<start> .. Channed Warner, Owatonna, Minns",".. Channed Warner, Owatonna, Minns <end>"
4510,Evaluate your computerâs score and system element results anofure people.,Evaluate your computerâs score and system element results in other people.,<start> Evaluate your computerâs score and system element results anofure people.,Evaluate your computerâs score and system element results anofure people. <end>
8483,Teacher resumes with he quotes of teacher resume example,Teacher resumes with quotes quotesgram for Teachers resume example .,<start> Teacher resumes with he quotes of teacher resume example,Teacher resumes with he quotes of teacher resume example <end>
7587,"With the rally, the stock moved above its straight , and DMAs.","With the rally, the stock moved above its , and DMAs.","<start> With the rally, the stock moved above its straight , and DMAs.","With the rally, the stock moved above its straight , and DMAs. <end>"
6070,What was Qlikview SelfAssessment?,What Is The Qlikview SelfAssessment?,<start> What was Qlikview SelfAssessment?,What was Qlikview SelfAssessment? <end>
4083,How can I check my Dialup connection is settings is encouraged in Windows XP?,How can I check my dialup connection settings in Windows XP?,<start> How can I check my Dialup connection is settings is encouraged in Windows XP?,How can I check my Dialup connection is settings is encouraged in Windows XP? <end>
6770,. How much will receive my same condition?,. How much will I receive?,<start> . How much will receive my same condition?,. How much will receive my same condition? <end>
7654,But try a few dollars stroe.,But try a few dollar stores.,<start> But try a few dollars stroe.,But try a few dollars stroe. <end>
48,Core signaled pathways in human pancreatic is cancers revealed us by global genomic analyses,Core signaling pathways in human pancreatic cancers revealed by global genomic analyses.,<start> Core signaled pathways in human pancreatic is cancers revealed us by global genomic analyses,Core signaled pathways in human pancreatic is cancers revealed us by global genomic analyses <end>
582,Th anyone here how to play Sleeping Dogs.,Thread Anyone here playing Sleeping Dogs?,<start> Th anyone here how to play Sleeping Dogs.,Th anyone here how to play Sleeping Dogs. <end>
9899,"Related journal ""Elegant jones county Ms Gis""","Related Post "" Elegant Jones County Ms Gis""","<start> Related journal ""Elegant jones county Ms Gis""","Related journal ""Elegant jones county Ms Gis"" <end>"
5744,Why use UpCounsel to hospital is Maricopa Real Estate Attorney?,Why use UpCounsel to hire a Maricopa Real Estate Attorney?,<start> Why use UpCounsel to hospital is Maricopa Real Estate Attorney?,Why use UpCounsel to hospital is Maricopa Real Estate Attorney? <end>
5556,"LECY, Hannah, Matlock ,and BLACKWELL, Thomas, Matlock, Jun .","LECY, Hannah, Matlock and BLACKWELL, Thomas, Matlock, Jun .","<start> LECY, Hannah, Matlock ,and BLACKWELL, Thomas, Matlock, Jun .","LECY, Hannah, Matlock ,and BLACKWELL, Thomas, Matlock, Jun . <end>"
5071,"The next stretch goal up as the titan, Atlas. It is huge!","Next stretch goal up is the titan, Atlas. It is huge!","<start> The next stretch goal up as the titan, Atlas. It is huge!","The next stretch goal up as the titan, Atlas. It is huge! <end>"
7961,Want to secure the smooth and treveled operation of your website?,Want to assure the smooth and streamlined operation of your website?,<start> Want to secure the smooth and treveled operation of your website?,Want to secure the smooth and treveled operation of your website? <end>
4921,puyehshop Gd buyer to deal with!,puyehshop Great buyer to deal with!,<start> puyehshop Gd buyer to deal with!,puyehshop Gd buyer to deal with! <end>
7972,Excelent saving in jewelrycandles.org. As your bargain is waiting at the checkout.,Excellent savings at jewelrycandles.org. Your bargain is waiting at the checkout.,<start> Excelent saving in jewelrycandles.org. As your bargain is waiting at the checkout.,Excelent saving in jewelrycandles.org. As your bargain is waiting at the checkout. <end>
2251,Experience with SAP R is environment.,Experience with SAP R environment.,<start> Experience with SAP R is environment.,Experience with SAP R is environment. <end>
417,'USB to Serial to cale ?,USB to Serial cable ?,<start> 'USB to Serial to cale ?,'USB to Serial to cale ? <end>
5506,"Williams sightseeing, G, L ""","Williams Site, G, L ""","<start> Williams sightseeing, G, L ""","Williams sightseeing, G, L "" <end>"
4385,"Maryland E. Shore, Zoe Bowens, Second in Class OH, Jr.","Maryland E. Shore, Zoe Bowens, OH, Jr.","<start> Maryland E. Shore, Zoe Bowens, Second in Class OH, Jr.","Maryland E. Shore, Zoe Bowens, Second in Class OH, Jr. <end>"
9545,Prepare the MIME entity to transport those with a fixed encoding constraints.,Prepare the MIME entity for transport using the specified encoding constraints.,<start> Prepare the MIME entity to transport those with a fixed encoding constraints.,Prepare the MIME entity to transport those with a fixed encoding constraints. <end>
9500,Shall I go to Medina or shall I go to Walking?,Shall I go to Madina or shall I go on walking?,<start> Shall I go to Medina or shall I go to Walking?,Shall I go to Medina or shall I go to Walking? <end>
1616,"Say yes to more things that comed up, If I love them.","Say yes to more things that come up, if you love them.","<start> Say yes to more things that comed up, If I love them.","Say yes to more things that comed up, If I love them. <end>"
389,Hi Mike fervent job last night on the show!,Hi Mike! Nice job last night on the show!,<start> Hi Mike fervent job last night on the show!,Hi Mike fervent job last night on the show! <end>
1777,Check CHARGED how to stay up to date on Quartermaines Terms Tickets!,Check CHARGED to stay up to date on Quartermaines Terms tickets!,<start> Check CHARGED how to stay up to date on Quartermaines Terms Tickets!,Check CHARGED how to stay up to date on Quartermaines Terms Tickets! <end>
6724,Coconuts oil can help you get the kind of sleep you deservethes.,Coconut oil can help you get the kind of sleep you deserve.,<start> Coconuts oil can help you get the kind of sleep you deservethes.,Coconuts oil can help you get the kind of sleep you deservethes. <end>
1534,It reminded me of riding the reden crossisland highway.,It reminded me of riding the Northern CrossIsland Highway.,<start> It reminded me of riding the reden crossisland highway.,It reminded me of riding the reden crossisland highway. <end>
4236,were supposed to be in the way to become.,was supposed to be the future.,<start> were supposed to be in the way to become.,were supposed to be in the way to become. <end>
1761,"s Octs p ""Change Of Heart""","s Oct p ""Change Of Heart""","<start> s Octs p ""Change Of Heart""","s Octs p ""Change Of Heart"" <end>"
1984,MARBLE TINTS Available in multiple colors including metalls.,MARBLE TINTS Available in multiple shades including metallics.,<start> MARBLE TINTS Available in multiple colors including metalls.,MARBLE TINTS Available in multiple colors including metalls. <end>
3098,The cell biology of embryonic migrations.,Cell biology of embryonic migration.,<start> The cell biology of embryonic migrations.,The cell biology of embryonic migrations. <end>
6511,Now you need to find file tou want to full.,Now you need to find the files you want to transfer.,<start> Now you need to find file tou want to full.,Now you need to find file tou want to full. <end>
4948,HomeCar Accidents Does not Car Insurance Cover a HitandRun Accident in Texas.,HomeCar AccidentsDoes Car Insurance Cover a HitandRun Accident in Texas?,<start> HomeCar Accidents Does not Car Insurance Cover a HitandRun Accident in Texas.,HomeCar Accidents Does not Car Insurance Cover a HitandRun Accident in Texas. <end>
815,Years of er to student helpStudent Administrative Assistant Exp.,Years of Student Administrative Assistant Exp.,<start> Years of er to student helpStudent Administrative Assistant Exp.,Years of er to student helpStudent Administrative Assistant Exp. <end>
3474,"Season prime rib soup with salt and peppaer, sear on all sides.","Season prime rib with salt and pepper, sear on all sides.","<start> Season prime rib soup with salt and peppaer, sear on all sides.","Season prime rib soup with salt and peppaer, sear on all sides. <end>"
8296,My recent was actually reread a Harry Potter book.,My most recent was actually a reread of a Harry Potter book.,<start> My recent was actually reread a Harry Potter book.,My recent was actually reread a Harry Potter book. <end>
7099,Living With Power to take the gospel to Lebanon n !,Living With Power to take the gospel to Lebanon in !,<start> Living With Power to take the gospel to Lebanon n !,Living With Power to take the gospel to Lebanon n ! <end>
9747,Did Michael come to Palestinia?,Did Michael come to Palestine?,<start> Did Michael come to Palestinia?,Did Michael come to Palestinia? <end>
7039,Amanda put a pice candy into his mouth.,Amanda put a piece candy into his mouth.,<start> Amanda put a pice candy into his mouth.,Amanda put a pice candy into his mouth. <end>
4556,pivacy screens for patio apartment screen another fence get tags.,privacy screens for patio apartment screen another fence tags.,<start> pivacy screens for patio apartment screen another fence get tags.,pivacy screens for patio apartment screen another fence get tags. <end>
4593,"Group Reports, Experience with Indianapolis Police Dept.","Group Report, Experience with Indianapolis Police Dept.","<start> Group Reports, Experience with Indianapolis Police Dept.","Group Reports, Experience with Indianapolis Police Dept. <end>"
6864,top rated couches sectional of top rated Furniture brands canada.,top rated couches sectional top rated furniture brands canada.,<start> top rated couches sectional of top rated Furniture brands canada.,top rated couches sectional of top rated Furniture brands canada. <end>
9140,He need my business for convenience and technical support,Served my business needs for convenience and technical support.,<start> He need my business for convenience and technical support,He need my business for convenience and technical support <end>
527,"Homo like report in a Boston, Boston gazette., October , .","Same report in Boston, Boston Gazette, October , .","<start> Homo like report in a Boston, Boston gazette., October , .","Homo like report in a Boston, Boston gazette., October , . <end>"
9726,"Aijalon and Gath Rimmon, together by their pasturelandsÂfour towns.","Aijalon and Gath Rimmon, together with their pasturelandsÂfour towns.","<start> Aijalon and Gath Rimmon, together by their pasturelandsÂfour towns.","Aijalon and Gath Rimmon, together by their pasturelandsÂfour towns. <end>"
6189,Sure person tell me gonna run to take a paper and send his message in the next few days.,Sure. Will read and comment in the next few days.,<start> Sure person tell me gonna run to take a paper and send his message in the next few days.,Sure person tell me gonna run to take a paper and send his message in the next few days. <end>
1909,ISO Pneumatic Cylinder Shako TCISO standard cylinder.,ISO Pneumatic Cylinder Shako TCISO standard cylinder.Double acting.Bore mmStroke mm..,<start> ISO Pneumatic Cylinder Shako TCISO standard cylinder.,ISO Pneumatic Cylinder Shako TCISO standard cylinder. <end>
4749,Bespoke Conservatory & Orangeries in Aylsham,Bespoke conservatories & orangeries in Aylsham.,<start> Bespoke Conservatory & Orangeries in Aylsham,Bespoke Conservatory & Orangeries in Aylsham <end>
5272,Sharon Two words Laurence Olivier! Excelent choices.,Sharon Two words Laurence Olivier! Excellent choice.,<start> Sharon Two words Laurence Olivier! Excelent choices.,Sharon Two words Laurence Olivier! Excelent choices. <end>
9317,"Journal of Computational Science lEducation, issue Volume, pages in , .","Journal of Computational Science Education, Volume , Issue , Pages , .","<start> Journal of Computational Science lEducation, issue Volume, pages in , .","Journal of Computational Science lEducation, issue Volume, pages in , . <end>"
